Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
RP11-693J15.5;7;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0
RP11-6B19.1;0;0;0;1;0;0;0;0;12;0;0;0;0;0;0;0
RP11-701P16.2;2;5;7;0;1;0;8;35;15;0;118;1;1;0;1;1
RP11-704M14.1;0;0;404;0;0;0;0;0;0;0;0;0;1;0;0;0
RP11-704M14.2;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-71G12.1;0;0;0;0;0;0;0;0;0;0;0;0;277;0;0;0
RP11-71L14.3;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0
RP11-736I10.2;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-73G16.2;0;0;0;0;0;0;0;0;0;0;0;0;186;0;0;0
RP11-750H9.5;6;10;12;0;0;0;112;166;337;0;154;1;1;1;0;0
RP11-770G2.2;1;0;2;1;0;0;0;1;2;0;23;0;0;0;1;0
RP11-779O18.3;1;1;6;2;0;0;6;9;6;3;55;1;0;0;1;1
RP11-785D18.3;20;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0
RP11-7F17.3;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0
RP11-812E19.9;7;3;0;0;0;0;0;0;0;0;0;0;0;93;0;0
RP11-829H16.3;52;3;1;1;1;1;0;1;0;0;0;1;1;1;0;0
RP11-84C10.2;0;1;0;0;0;0;10;3;0;0;0;0;2;0;0;0
RP11-864G5.7;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-875O11.3;0;0;1;0;0;0;0;4;0;1;44;0;0;0;0;0
RP11-883A18.3;4;3;2;2;1;1;1;1;1;2;3;1;24;3;1;1
RP11-903H12.5;5;2;0;1;1;0;10;21;0;0;0;0;3;2;0;0
RP11-925D8.3;1;1;1;0;0;0;1;30;10;0;136;1;0;0;0;0
RP11-978I15.10;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-98G13.1;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0
RP1-228H13.2;3;6;0;0;0;0;3;24;53;1;4;0;0;0;0;0
RP1-229K20.5;0;1;0;0;0;0;2;12;2;0;169;0;0;0;0;0
RP1-229K20.8;0;0;1;0;0;0;0;4;0;0;14;0;0;0;0;0
RP1-229K20.9;0;0;1;0;0;0;1;1;1;0;34;0;0;0;0;0
RP1-244F24.1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;1
RP13-644M16.4;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
RP1-45C12.1;2;6;2;1;1;0;0;1;1;1;2;2;40;2;0;1
RP3-388E23.2;0;1;2;1;1;1;0;0;0;1;0;1;11;0;0;0
RP3-416J7.4;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0
RP3-477M7.5;0;0;0;1;0;0;0;0;0;93;0;0;0;0;1;0
RP3-522P13.1;0;0;0;0;0;0;14;4;6;0;0;0;4;0;0;0
RP3-522P13.3;0;0;1;1;0;1;15;3;9;0;0;0;3;0;0;1
RP4-647C14.2;0;1;0;0;0;0;1;1;0;0;0;0;45;0;0;0
RP4-669L17.8;0;2;0;1;0;0;1;4;4;0;26;1;1;0;0;1
RP4-673D20.3;1;1;2;0;1;0;2;4;0;0;23;0;0;0;0;0
RP4-718D20.3;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
RP4-799P18.3;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
RP4-799P18.4;0;0;0;0;0;0;0;0;2;0;0;0;32;0;0;0
RP4-799P18.5;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
RP5-1011O1.2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
RP5-1027G4.3;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
RP5-1031D4.2;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0
RP5-1158E12.3;0;0;0;19;3;0;0;0;0;8;0;0;0;0;2;3
RP5-906A24.1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
RP6-91H8.3;1;1;6;2;1;6;34;2;2;1;2;2;2;0;2;3
RPL12P18;0;1;0;8;2;0;0;0;0;30;0;0;0;0;1;0
RPL12P47;5;39;0;4;0;0;0;0;0;1;0;2;0;0;2;0
RPL7AP64;0;2;0;0;0;0;13;27;2;0;0;0;0;0;0;0
RPS15AP30;0;1;0;1;3;1;2;5;50;2;7;2;0;0;4;0
RRAS;1;1;0;2;1;1;2;5;19;2;0;1;1;0;2;1
RTN1;1;1;0;0;0;0;68;26;20;0;1;0;0;0;0;0
RXFP2;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0
S100A8;44;98;14;0;0;0;179;962;116;0;4342;2;0;7;0;0
S100A9;143;251;26;1;0;0;603;2968;320;1;8460;5;0;19;0;1
S1PR3;0;2;0;0;0;0;1;27;1;0;0;0;0;0;0;0
SCAMP5;2;1;1;1;1;0;0;0;1;1;0;2;271;8;0;0
SCARA5;0;0;0;0;0;0;1;0;0;0;0;0;96;0;0;0
SCARB1;25;12;2;3;2;5;46;25;7;4;5;3;160;9;2;4
SCARF1;1;1;2;0;0;0;6;12;2;0;42;1;1;0;0;0
SCART1;1;1;1;3;1;30;0;0;2;1;1;1;0;0;1;1
SCML2;0;1;1;1;1;1;2;0;1;2;0;1;23;0;0;1
SCN9A;0;0;4;0;0;0;6;1;0;0;1;1;67;1;0;0
SCT;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0
SDR16C5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SERINC2;0;1;0;0;0;0;0;5;1;0;0;0;13;0;0;0
SERPINF1;27;25;5;10;10;6;57;12;8;25;7;9;1814;20;8;8
SERPINF2;1;1;0;0;0;0;6;1;0;0;0;0;25;0;0;0
SF3A3P2;0;0;0;1;1;0;2;3;2;0;1;2;13;0;1;1
SFTPD;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0
SGMS2;1;1;0;0;0;0;12;18;5;0;0;0;0;0;0;0
SH2D1B;4;5;0;0;6;0;1;0;84;0;1;580;0;1;27;0
SHD;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0
SIGLEC10;97;81;17;2;5;2;41;68;490;1;155;14;5;2;5;5
SIGLEC20P;0;0;0;0;0;0;5;1;13;0;0;0;0;0;0;0
SLAMF8;0;1;0;2;11;1;47;4;3;2;0;9;0;0;7;7
SLC12A3;1;1;0;0;0;0;0;0;0;0;0;0;85;0;0;0
SLC22A4;1;1;0;0;0;0;6;25;4;0;111;0;1;0;0;0
SLC23A1;10;10;1;1;1;1;0;0;0;1;1;1;32;7;0;0
SLC24A3;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
SLC25A37;135;179;11;29;19;23;49;55;41;36;1325;22;11;11;19;27
SLC25A47P1;0;4;0;0;0;0;0;0;0;0;3;0;21;0;0;0
SLC35F3;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
SLC38A11;3;37;0;0;0;0;0;0;0;0;0;0;2;0;0;0
SLC41A2;2;3;2;1;2;1;23;0;2;0;0;2;78;5;1;1
SLC45A3;2;3;294;0;0;0;0;0;0;0;0;0;0;0;0;0
SLC45A4;0;0;5;1;1;1;1;1;1;1;20;1;0;0;0;1
SLC46A2;2;3;0;0;0;0;28;102;53;0;0;0;0;0;0;0
SLC4A10;0;0;2;9;2;223;0;1;1;2;2;3;0;0;2;14
SLC4A3;0;0;0;0;0;0;15;0;1;0;0;0;43;0;0;0
SLC7A5;2;1;3;2;3;10;3;1;0;1;0;2;52;7;5;6
SLPI;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0
SMIM25;5;10;2;0;0;0;16;113;940;0;402;4;0;1;0;0
SMIM5;1;2;1;0;0;0;1;1;1;1;0;0;50;0;0;0
SMIM6;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
SMPD3;12;8;9;6;9;5;6;4;6;4;9;10;326;3;17;7
SNED1;95;21;0;23;2;3;0;2;15;15;0;0;0;4;3;2
SNORD3B-1;2;2;2;0;0;1;7;19;5;0;0;2;4;2;1;0
SNRPD2P1;2;3;0;0;0;0;2;0;0;0;0;0;33;0;0;0
SNX29P2;41;212;4;3;4;1;15;4;4;3;1;8;10;1;4;3
SOCS2;5;3;1430;30;22;46;1;1;1;22;1;49;2;2;29;21
SPATA20P1;0;0;0;0;0;0;0;3;0;0;118;0;0;0;0;0
SPIB;390;326;3;2;2;2;21;1;1;2;1;4;954;5;2;2
SPON2;7;11;10;16;215;35;3;2;12;13;1;903;35;3;131;122
SPRED1;0;0;0;0;0;0;1;1;10;0;0;0;0;0;0;0
SPTSSB;0;1;0;2;0;15;0;0;0;0;0;60;0;0;0;16
SRPX;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
SSPN;90;7;2;0;0;0;0;0;0;0;2;0;0;19;0;0
ST6GALNAC1;0;0;1;11;0;0;0;0;0;2;0;0;0;0;0;1
ST6GALNAC2;3;1;0;2;2;4;2;11;8;1;81;0;0;0;1;2
STAB1;2;3;1;0;0;0;21;75;12;0;0;0;0;0;0;0
STEAP1B;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STEAP4;1;2;1;1;0;0;1;35;1;1;332;1;0;0;0;0
SUMO1P1;0;0;1;0;0;0;0;6;7;0;72;0;0;0;0;0
SYBU;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TAS1R3;34;4;1;1;1;0;0;0;0;1;0;1;0;4;1;0
TCEAL9;1;0;0;1;0;0;1;1;0;2;0;0;12;1;0;0
TCF4;374;320;24;8;5;12;54;31;43;12;20;20;1476;97;9;5
TCF7L2;3;3;1;3;7;12;7;33;395;5;15;10;2;0;9;8
TCN1;1;2;1102;0;0;0;0;1;0;0;9;1;2;0;0;0
TEX2;3;6;6;7;9;9;10;7;5;9;2;13;116;3;7;7
TGM3;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
THEM5;1;1;0;9;4;25;0;0;0;1;0;2;4;0;2;9
THSD7A;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0
TIFAB;0;0;0;0;0;0;8;0;0;0;0;0;21;0;0;0
TLR9;7;6;3;1;0;1;0;0;0;1;2;0;90;2;0;0
TMEM150B;1;2;5;0;0;0;2;19;3;0;1;0;0;0;0;0
TMEM183AP1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
